procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd  libre   búf caché   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 11009628  75544 3946388    0    0   524   842 5323    9  6  1 93  0  0  0
 1  0      0 10985444  75560 3955912    0    0     0    98 7578 17707  6  3 91  0  0  0
 2  0      0 10981040  75560 3960532    0    0     0    26 7029 16713  7  2 91  0  0  0
 0  0      0 10970140  75564 3969396    0    0    82     0 8566 17750  9  3 89  0  0  0
 0  0      0 10981700  75580 3958948    0    0     0   160 4547 9334  3  1 96  0  0  0
 2  0      0 10981024  75604 3959164    0    0     0    88 5295 10248  3  2 96  0  0  0
 1  0      0 10999404  75604 3959136    0    0     0     0 5665 8941  3  1 95  0  0  0
 0  0      0 10999428  75628 3958980    0    0     0   450 5018 10437  3  1 96  0  0  0
 0  0      0 10991516  75628 3959048    0    0     0     0 4277 8073  3  1 96  0  0  0
 1  0      0 10997244  75660 3959056    0    0     0   388 4052 6401  2  1 96  0  0  0
 2  0      0 10986848  75660 3959008    0    0     4     0 4595 9773  3  1 96  0  0  0
 0  0      0 10990588  75660 3959100    0    0     0     0 3566 7925  2  1 97  0  0  0
 0  0      0 10989740  75680 3959144    0    0     2   564 2850 5192  2  1 97  0  0  0
 1  0      0 10980336  75680 3959320    0    0     0   328 3693 8314  2  1 97  0  0  0
 0  0      0 10972168  75844 3962208    0    0  1622   464 4784 9193  3  1 96  0  0  0
 0  0      0 10977104  75860 3962368    0    0     0    78 4345 7175  3  1 96  0  0  0
 4  0      0 10983444  75860 3958292    0    0     0     2 4276 9485  3  1 96  0  0  0
 1  0      0 10988108  75868 3958376    0    0     0   112 5208 10075  3  1 96  0  0  0
 1  0      0 10973548  75876 3958320    0    0     0   334 5069 8264  4  1 95  0  0  0
 0  0      0 10971096  75884 3958448    0    0     0    18 6161 10943  4  2 94  0  0  0
 0  0      0 10976124  75892 3958408    0    0     0   114 3174 5337  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd  libre   búf caché   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10973480  75916 3958532    0    0     0    70 3930 8872  2  1 96  0  0  0
 0  0      0 10981104  75924 3965356    0    0     0    46 3942 8959  3  1 96  0  0  0
 0  0      0 10980628  75956 3965404    0    0     2   148 4663 8613  3  1 95  0  0  0
 0  0      0 10964968  75956 3965500    0    0    28     0 4930 9649  3  1 96  0  0  0
 1  0      0 10930888  75964 3978844    0    0     0   354 8686 18666  8  2 90  0  0  0
 3  0      0 10921036  75972 3983968    0    0     0   112 9955 22916 12  3 85  0  0  0
 0  0      0 10930948  75972 3970452    0    0     0   106 6549 16936  6  2 91  0  0  0
